Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000252,7,2,-1.0,1,1,-1.0,1,0,1,50
202300000253,3,3,4.0,1,1,-1.0,1,0,1,50
202300000254,3,-1,2.0,1,1,7.0,1,0,1,50
202300000254,3,2,-1.0,1,1,-1.0,1,0,1,50
202300000255,4,1,1.0,2,1,-1.0,1,0,1,50
202300000255,4,2,2.0,1,1,-1.0,1,0,1,50
202300000256,4,2,2.0,1,2,-1.0,2,0,1,50
202300000257,4,-1,2.0,1,1,-1.0,1,9,1,50
202300000258,4,1,1.0,1,1,-1.0,1,0,1,50
202300000259,4,2,2.0,1,1,-1.0,1,0,1,30
202300000260,4,3,4.0,1,1,-1.0,2,0,1,70
202300000260,4,1,1.0,2,3,-1.0,2,0,1,50
202300000261,4,2,2.0,1,1,-1.0,2,0,1,50
202300000262,4,2,2.0,1,3,-1.0,2,6,1,50
202300000262,4,2,2.0,1,1,-1.0,2,0,1,50
202300000263,4,2,2.0,1,1,-1.0,1,0,8,50
202300000264,4,1,1.0,1,1,-1.0,1,6,4,50
202300000265,4,2,2.0,1,2,-1.0,1,0,1,50
202300000266,3,2,2.0,2,1,-1.0,1,0,1,50
202300000267,4,2,2.0,1,1,-1.0,9,0,1,30
202300000268,4,3,3.0,1,1,-1.0,2,5,1,50
202300000268,4,2,2.0,2,3,-1.0,2,5,1,50
202300000269,4,1,1.0,1,1,-1.0,1,0,1,30
202300000269,4,2,1.0,1,1,-1.0,1,0,1,50
202300000270,3,2,2.0,1,1,5.0,1,0,1,50
202300000270,3,1,2.0,2,1,5.0,1,0,8,50
202300000271,4,2,2.0,1,1,-1.0,2,0,1,50
202300000272,3,2,2.0,1,1,-1.0,1,0,1,30
202300000273,3,1,1.0,2,1,-1.0,1,1,1,50
202300000274,4,2,-1.0,2,1,-1.0,1,0,1,-1
202300000274,4,-1,1.0,2,1,-1.0,1,0,1,50
202300000275,4,2,2.0,2,1,-1.0,1,2,1,30
202300000276,4,2,2.0,2,1,-1.0,1,6,1,30
202300000277,4,2,2.0,1,1,-1.0,1,9,6,50
202300000278,4,2,2.0,1,1,-1.0,1,0,1,50
202300000279,4,2,2.0,1,1,-1.0,2,0,5,20
202300000279,4,2,8.0,1,1,-1.0,2,0,1,50
202300000280,3,2,2.0,1,1,-1.0,1,0,1,90
202300000280,3,2,2.0,1,1,-1.0,1,0,1,50
202300000281,3,1,1.0,1,1,-1.0,1,0,1,30
202300000282,4,1,2.0,1,1,-1.0,1,0,4,50
202300000283,4,2,2.0,1,1,-1.0,2,0,1,30
202300000284,4,-1,1.0,1,1,-1.0,2,9,8,30
202300000285,4,1,1.0,1,1,-1.0,1,0,1,50
202300000286,4,2,2.0,1,1,-1.0,1,1,1,30
202300000287,3,2,2.0,1,4,7.0,1,0,1,30
202300000287,3,2,2.0,3,1,7.0,1,0,1,50
202300000288,4,2,3.0,1,1,-1.0,1,2,1,50
202300000289,4,1,2.0,1,1,-1.0,1,5,1,30
202300000289,4,2,3.0,1,1,-1.0,1,0,1,30
202300000290,4,2,2.0,1,1,-1.0,1,5,1,-1
202300000290,4,2,2.0,1,1,-1.0,1,5,1,50
202300000291,4,2,2.0,2,2,-1.0,1,0,1,50
202300000291,4,2,2.0,1,1,-1.0,1,2,1,50
202300000292,7,1,2.0,1,1,-1.0,1,5,1,80
202300000292,7,2,2.0,1,1,-1.0,1,5,1,80
202300000293,4,1,3.0,1,1,-1.0,1,1,1,70
202300000294,4,2,2.0,2,1,-1.0,1,0,1,50
202300000294,4,2,2.0,2,3,-1.0,1,0,1,50
202300000295,4,2,2.0,1,1,-1.0,1,0,1,50
202300000296,4,1,1.0,2,1,-1.0,1,0,6,30
202300000297,4,2,3.0,1,1,-1.0,1,0,1,30
202300000297,4,2,2.0,1,1,-1.0,1,5,1,30
202300000298,4,2,2.0,2,1,-1.0,1,0,1,30
202300000299,3,2,3.0,1,1,-1.0,1,9,1,50
202300000300,4,2,2.0,1,1,-1.0,1,5,1,30
202300000300,4,2,2.0,1,1,-1.0,1,5,1,50
202300000301,3,2,2.0,1,1,-1.0,1,0,1,50
202300000302,7,2,3.0,1,1,-1.0,1,0,8,50
202300000303,4,2,3.0,1,1,-1.0,1,0,1,30
202300000304,4,2,3.0,1,1,-1.0,1,0,1,50
202300000305,3,2,2.0,2,1,-1.0,1,0,1,50
202300000306,4,2,2.0,1,1,-1.0,1,0,1,30
202300000307,4,2,2.0,4,1,-1.0,1,0,1,50
202300000307,4,2,2.0,3,1,-1.0,1,0,1,50
202300000308,7,2,2.0,1,1,-1.0,1,5,1,30
202300000308,7,3,5.0,1,1,-1.0,1,5,1,50
202300000309,4,-1,2.0,1,1,-1.0,1,0,1,30
202300000309,4,2,2.0,1,1,-1.0,1,0,1,30
202300000310,4,2,4.0,1,1,-1.0,1,0,1,50
202300000311,4,2,2.0,1,1,-1.0,1,0,1,50
202300000312,4,2,2.0,1,1,-1.0,1,0,4,30
202300000313,4,-1,-1.0,1,1,-1.0,1,0,1,-1
